我	ngo5
牛皮燈籠	ngau4 pei4 dang1 lung4
詐癲扮傻	zaa3 din1 baan6 so4
詐詐諦諦	zaa3 zaa3 dai3 dai3
身嬌肉貴	san1 giu1 juk6 gwai3
身水身汗	san1 seoi2 san1 hon6
食拖鞋飯	sik6 to1 haai2 faan6
惡屎能登	ok3 si2 nang4 dang1
誅心之論	zyu1 sam1 zi1 leon6
眾矢之的	zung3 ci2 zi1 dik1
支支吾吾	zi1 zi1 ng4 ng4
在所不惜	zoi6 so2 bat1 sik1
越俎代庖	jyut6 zo2 doi6 paau4
兇神惡煞	hung1 san4 ok3 saat3
興師問罪	hing1 si1 man6 zeoi6
心醉神迷	sam1 zeoi3 san4 mai4
心直口快	sam1 zik6 hau2 faai3
唯利是圖	wai4 lei6 si6 tou4
脫胎換骨	tyut3 toi1 wun6 gwat1
突飛猛進	dat6 fei1 maang5 zeon3
停滯不前	ting4 zai6 bat1 cin4
醍醐灌頂	tai4 wu4 gun3 deng2
滔滔不絕	tou1 tou1 bat1 zyut6
討價還價	tou2 gaa3 waan4 gaa3
似笑非笑	ci5 siu3 fei1 siu3
死去活來	sei2 heoi3 wut6 loi4
四分五裂	sei3 fan1 ng5 lit6
水性楊花	seoi2 sing3 joeng4 faa1
神采飛揚	san4 coi2 fei1 joeng4
姍姍來遲	saan1 saan1 loi4 ci4
仁義道德	jan4 ji6 dou6 dak1
全神灌注	cyun4 san4 gun3 zyu3
全軍覆沒	cyun4 gwan1 fuk1 mut6
強詞奪理	koeng5 ci4 dyut6 lei5
迫不及待	bik1 bat1 kap6 doi6
女中豪傑	neoi5 zung1 hou4 git6
牛郎織女	ngau4 long4 zik1 neoi5
墨守成規	mak6 sau2 sing4 kwai1
妙手回春	miu6 sau2 wui4 ceon1
毛骨悚然	mou4 gwat1 sung2 jin4
滿不在乎	mun5 bat1 zoi6 fu4
漫不經心	maan6 bat1 ging1 sam1
流言蜚語	lau4 jin4 fei1 jyu5
兩手空空	loeng5 sau2 hung1 hung1
良師益友	loeng4 si1 jik1 jau5
良辰吉日	loeng4 san4 gat1 jat6
濫竽充數	laam6 jyu4 cung1 sou3
快人快語	faai3 jan4 faai3 jyu5
苦盡甘來	fu2 zeon6 gam1 loi4
精神恍惚	zing1 san4 fong2 fat1
驚惶失措	ging1 wong4 sat1 cou3
驚慌失措	ging1 fong1 sat1 cou3
進退兩難	zeon3 teoi3 loeng5 naan4
錦上添花	gam2 soeng6 tim1 faa1
劫富濟貧	gip3 fu3 zai3 pan4
借刀殺人	ze3 dou1 saat3 jan4
艱苦奮鬥	gaan1 fu2 fan5 dau3
價廉物美	gaa3 lim4 mat6 mei5
混水摸魚	wan6 seoi2 mo2 jyu4
後會有期	hau6 wui6 jau5 kei4
含情脈脈	ham4 cing4 mak6 mak6
海誓山盟	hoi2 sai6 saan1 mang4
觥籌交錯	gwang1 cau4 gaau1 cok3
改邪歸正	goi2 ce4 gwai1 zing3
婀娜多姿	o2 no5 do1 zi1
多多益善	do1 do1 jik1 sin6
咄咄怪事	cyut3 cyut3 gwaai3 si6
對牛彈琴	deoi3 ngau4 taan4 kam4
洞房花燭	dung6 fong4 faa1 zuk1
燈紅酒綠	dang1 hung4 zau2 luk6
大獲全勝	daai6 wok6 cyun4 sing3
打得火熱	daa2 dak1 fo2 jit6
打成一片	daa2 sing4 jat1 pin3
從長計議	cung4 coeng4 gai3 ji5
春風得意	ceon1 fung1 dak1 ji3
乘人之危	sing4 jan4 zi1 ngai4
沉默寡言	cam4 mak6 gwaa2 jin4
陳詞濫調	can ci4 laam6 diu6
不毛之地	bat1 mou4 zi1 dei6
不可一世	bat1 ho2 jat1 sai3
不拘小節	bat1 keoi1 siu2 zit3
不假思索	bat1 gaa2 si1 sok3
不得人心	bat1 dak1 jan4 sam1
不敗之地	bat1 baai6 zi1 dei6
彪形大漢	biu1 jing4 daai6 hon3
暴跳如雷	bou6 tiu3 jyu4 leoi4
以貌取人	ji5 maau6 ceoi2 jan4
一敗塗地	jat1 baai6 tou4 dei6
西北地區	sai1 bak1 dei6 keoi1
知識分子	zi1 sik1 fan6 zi2
與世隔絕	jyu5 sai3 gaak3 zyut6
逃避現實	tou4 bei6 jin6 sat6
失敗主義	sat1 baai6 zyu2 ji6
兩岸三地	loeng5 ngon6 saam1 dei6
牢不可破	lou4 bat1 ho2 po3
歸根結底	gwai1 gan1 git3 dai2
生老病死	sang1 lou5 beng6 sei2
身體檢查	san1 tai2 gim2 caa4
將計就計	zoeng1 gai3 zau6 gai3
意味深長	ji3 mei6 sam1 coeng4
一覺醒來	jat1 gaau3 sing2 loi4
天馬行空	tin1 maa5 hang4 hung1
動手動腳	dung6 sau2 dung6 goek3
高深莫測	gou1 sam1 mok6 caak1
體育項目	tai2 juk6 hong6 muk6
骨牌效應	gwat1 paai2 haau6 jing3
風雨無阻	fung1 jyu5 mou4 zo2
非常手段	fei1 soeng4 sau2 dyun6
電視轉播	din6 si6 zyun2 bo3
離開人世	lei4 hoi1 jan4 sai3
阿爾卑斯	aa3 ji5 bei1 si1
阿摩尼亞	aa3 mo1 nei4 aa3
關鍵時刻	gwaan1 gin6 si4 haak1
開曼群島	hoi1 maan6 kwan4 dou2
金錢掛帥	gam1 cin4 gwaa3 seoi3
醫科大學	ji1 fo1 daai6 hok6
行政機關	hang4 zing3 gei1 gwaan1
行動自由	hang4 dung6 zi6 jau4
血債血償	hyut3 zaai3 hyut3 soeng4
融為一體	jung4 wai4 jat1 tai2
著稱於世	zyu3 cing1 jyu1 sai3
自我批評	zi6 ngo5 pai1 ping4
自我安慰	zi6 ngo5 on1 wai3
自作主張	zi6 zok3 zyu2 zoeng1
胡思亂想	wu4 si1 lyun6 soeng2
聚在一起	zeoi6 zoi6 jat1 hei2
聖彼得堡	sing3 bei2 dak1 bou2
繩之以法	sing4 zi1 ji5 faat3
經驗豐富	ging1 jim6 fung1 fu3
結社自由	git3 se5 zi6 jau4
精於此道	zing1 jyu1 ci2 dou6
看破紅塵	hon3 po3 hung4 can4
相夫教子	soeng3 fu1 gaau3 zi2
痛痛快快	tung3 tung3 faai3 faai3
生物科技	sang1 mat6 fo1 gei6
瑪莎拉蒂	maa5 saa1 laai1 dai3
深信不疑	sam1 seon3 bat1 ji4
消息來源	siu1 sik1 loi4 jyun4
活期存款	wut6 kei4 cyun4 fun2
民間習俗	man4 gaan1 zaap6 zuk6
木訥寡言	muk6 neot6 gwaa2 jin4
旅行支票	leoi5 hang4 zi1 piu3
情投意合	cing4 tau4 ji3 hap6
從頭到腳	cung4 tau4 dou3 goek3
左顧右盼	zo2 gu3 jau6 paan3
左思右想	zo2 si1 jau6 soeng2
小打小鬧	siu2  daa2 siu2 naau6
女生外向	neoi5 saang1 ngoi6 hoeng3
天妒英才	tin1 dou3 jing1 coi4
夜以繼日	je6 ji5 gai3 jat6
國際法庭	gwok3 zai3 faat3 ting4
固定收入	gu3 ding6 sau1 jap6
司法機關	si1 faat3 gei1 gwaan1
刻苦耐勞	hak1 fu2 noi6 lou4
共同努力	gung6 tung4 nou5 lik6
公平競爭	gung1 ping4 ging6 zang1
人間喜劇	jan4 gaan1 hei2 kek6
人人有責	jan4 jan4 jau5 zaak3
交易市場	gaau1 jik6 si5 coeng4
二十六歲	ji6 sap6 luk6 seoi3
不可挽回	bat1 ho2 waan5 wui4
七級浮屠	cat1 kap1 fau4 tou4
港澳碼頭	gong2 ou3 maa5 tau4
面面俱圓	min6 min6 keoi1 jyun4
美其名曰	mei5 kei4 ming4 joek6
牛津大學	ngau4 zeon1 daai6 hok6
以人為本	ji5 jan4 wai4 bun2
國際慣例	gwok3 zai3 gwaan3 lai6
民事訴訟	man4 si6 sou3 zung6
聯合王國	lyun4 hap6 wong4 gwok3
中環中心	zung1 waan4 zung1 sam1
超額認購	ciu1 ngaak2 jing6 gau3
台灣問題	toi4 waan1 man6 tai4
柏林圍牆	paak3 lam4 wai4 coeng4
諾貝爾獎	nok6 bui3 ji5 zoeng2
青島啤酒	cing1 dou2 be1 zau2
香港回歸	hoeng1 gong2 wui4 gwai1
青山醫院	cing1 saan1 ji1 jyun2
博愛醫院	bok3 ngoi3 ji1 jyun2
城市電訊	sing4 si5 din6 seon3
七一遊行	cat1 jat1 jau4 hang4
美國國會	mei5 gwok3 gwok3 wui2
生化武器	sang1 faa3 mou5 hei3
新澤西州	san1 zaak6 sai1 zau1
新加坡人	san1 gaa3 bo1 jan4
應用軟件	jing3 jung6 jyun5 gin2
法蘭克福	faat3 laan4 hak1 fuk1
齊人之福	cai4 jan4 zi1 fuk1
影像處理	jing2 zoeng6 cyu2 lei5
經濟學家	ging1 zai3 hok6 gaa1
保護主義	bou2 wu6 zyu2 ji6
財政赤字	coi4 zing3 cek3 zi6
自由競爭	zi6 jau4 ging6 zang1
站得住腳	zaam6 dak1 zyu6 goek3
南斯拉夫	naam4 si1 laai1 fu1
馬爾代夫	maa5 ji5 doi6 fu1
生物化學	sang1 mat6 faa3 hok6
高等教育	gou1 dang2 gaau3 juk6
一籌莫展	jat1 cau4 mok6 zin2
東窗事發	dung1 coeng1 si6 faat3
頤養天年	ji4 joeng5 tin1 nin4
尊姓大名	zyun1 sing3 daai6 ming4
嫁雞隨雞	gaa3 gai1 ceoi4 gai1
言之鑿鑿	jin4 zi1 zok6 zok6
負隅頑抗	fu6 jyu4 waan4 kong3
夜闌人靜	je6 laan4 jan4 zing6
聖地亞哥	sing3 dei6 aa3 go1
乏善足陳	fat6 sin6 zuk1 can4
一貧如洗	jat1 pan4 jyu4 sai2
打雀噉眼	daa2 zoek3 daam6 ngaan5
死畀你睇	sei2 bei2 nei5 tai2
好事多磨	hou2 si6 do1 mo4
傀儡政府	faai3 leoi5 zing3 fu2
凹凹凸凸	nap1 nap1 dat6 dat6
鼠竊狗偷	syu2 sit3 gau2 tau1
七竅生煙	cat1 hiu3 sang1 jin1
綽綽有餘	coek3 coek3 jau5 jyu4
模稜兩可	mou4 ling4 loeng5 ho2
大專院校	daai6 zyun1 jyun2 haau6
頭頭尾尾	tau4 tau4 mei5 mei5
含辛茹苦	ham4 san1 jyu4 fu2
為民請命	wai6 man4 cing2 ming6
全權處理	cyun4 kyun4 cyu2 lei5
有關方面	jau5 gwaan1 fong1 min6
手停口停	sau2 ting4 hau2 ting4
油尖旺區	jau4 zim1 wong6 keoi1
行出行入	haang4 ceot1 haang4 jap6
平易近人	ping4 ji6 gan6 jan4
痴心妄想	ci1 sam1 mong5 soeng2
消磨時間	siu1 mo4 si4 gaan3
跟紅頂白	gan1 hung4 ding2 baak6
孤寒財主	gu1 hon4 coi4 zyu2
電影製作	din6 jing2 zai3 zok3
資本市場	zi1 bun2 si5 coeng4
經濟效益	ging1 zai3 haau6 jik1
主權國家	zyu2 kyun4 gwok3 gaa1
亡命之徒	mong4 ming6 zi1 tou4
單身寡仔	daan1 san1 gwaa2 zai2
週年紀念	zau1 nin4 gei3 nim6
自作自受	zi6 zok3 zi6 sau6
吸取教訓	kap1 ceoi2 gaau3 fan3
表示敬意	biu2 si6 ging3 ji3
秩序井然	dit6 zeoi6 zeng2 jin4
中產階級	zung1 caan2 gaai1 kap1
上天無路	soeng6 tin1 mou4 lou6
群眾運動	kwan4 zung3 wan6 dung6
旗幟鮮明	kei4 ci3 sin1 ming4
大大方方	daai6 daai6 fong1 fong1
公共衛生	gung1 gung6 wai6 sang1
大大小小	daai6 daai6 siu2 siu2
形式主義	jing4 sik1 zyu2 ji6
不知羞恥	bat1 zi1 sau1 ci2
一言不發	jat1 jin4 bat1 faat3
歸根究底	gwai1 gan1 gau3 dai2
儒家思想	jyu4 gaa1 si1 soeng2
逆水行舟	jik6 seoi2 hang4 zau1
世界市場	sai3 gaai3 si5 coeng4
石屎森林	sek6 si2 sam1 lam4
同性婚姻	tung4 sing3 fan1 jan1
當場死亡	dong1 coeng4 sei2 mong4
保持克制	bou2 ci4 hak1 zai3
侵權行為	cam1 kyun4 hang4 wai4
地下通道	dei6 haa6 tung1 dou6
有所不知	jau5 so2 bat1 zi1
意見不合	ji3 gin3 bat1 hap6
擦肩而過	caat3 gin1 ji4 gwo3
臨時政府	lam4 si4 zing3 fu2
豐富多彩	fung1 fu3 do1 coi2
電腦系統	din6 nou5 hai6 tung2
外匯儲備	ngoi6 wui6 cyu5 bei6
分離主義	fan1 lei4 zyu2 ji6
不速之客	bat1 cuk1 zi1 haak3
天作之合	tin1 zok3 zi1 hap6
公開指責	gung1 hoi1 zi2 zaak3
人體器官	jan4 tai2 hei3 gun1
愛理不理	oi3 lei5 bat1 lei5
不受歡迎	bat1 sau6 fun1 jing4
一臂之力	jat1 bei3 zi1 lik6
一決雌雄	jat1 kyut3 ci1 hung4
灣仔街市	waan1 zai2 gaai1 si5
中環街市	zung1 waan4 gaai1 si5
死過翻生	sei2 gwo3 faan1 sang1
見錢開眼	gin3 cin2 hoi1 ngaan5
爛銅爛鐵	laan6 tung4 laan6 tit3
玻璃生菜	bo1 lei1 saang1 coi3
意識形態	ji3 sik1 jing4 taai3
雨過天晴	jyu5 gwo3 tin1 cing4
尋根究底	cam4 gan1 gau3 dai2
頭頭是道	tau4 tau4 si6 dou6
犯罪行為	faan6 zeoi6 hang4 wai4
前赴後繼	cin4 fu6 hau6 gai3
出租汽車	ceot1 zou1 hei3 ce1
一路平安	jat1 lou6 ping4 on1
民族主義	man4 zuk6 zyu2 ji6
猝不及防	cyut3 bat1 kap6 fong4
褻瀆神明	sit3 duk6 san4 ming4
撳地游水	gam6 dei6 jau4 seoi2
落雨絲濕	lok6 jyu5 si1 sap1
罄竹難書	hing3 zuk1 naan4 syu1
第三世界	dai6 saam1 sai3 gaai3
爵士音樂	zoek3 si6 jam1 ngok6
呆若木雞	ngoi4 joek6 muk6 gai1
四大發明	sei3 daai6 faat3 ming4
大發慈悲	daai6 faat3 ci4 bei1
滙豐銀行	wui6 fung1 ngan4 hong4
滴水不漏	dik6 seoi2 bat1 lau6
朝思暮想	ziu1 si1 mou6 soeng2
賣兒鬻女	maai6 ji4 juk6 neoi5
烏合之眾	wu1 hap6 zi1 zung3
鑄成大錯	zyu3 sing4 daai6 co3
痛不欲生	tung3 bat1 juk6 sang1
擋風玻璃	dong2 fung1 bo1 lei1
熱烈歡迎	jit6 lit6 fun1 jing4
援助交際	wun4 zo6 gaau1 zai3
一石二鳥	jat1 sek6 ji6 niu5
工於心計	gung1 jyu1 sam1 gai3
惡名昭彰	ok3 ming4 ciu1 zoeng1
快快脆脆	faai3 faai3 ceoi3 ceoi3
從中作梗	cung4 zung1 zok3 gang2
有失遠迎	jau5 sat1 jyun5 jing4
三催四請	saam1 ceoi1 sei3 ceng2
阿蘭賣豬	aa3 laan4 maai6 zyu1
揸大葵扇	zaa1 daai6 kwai4 sin3
十居其九	sap6 geoi1 kei4 gau2
成人電影	sing4 jan4 din6 jing2
以訛傳訛	ji5 ngo4 cyun4 ngo4
不明不白	bat1 ming4 bat1 baak6
冇心裝載	mou5 sam1 zong1 zoi3
無殼蝸牛	mou4 hok3 wo1 ngau4
講多錯多	gong2 do1 co3 do1
左搖右擺	zo2 jiu4 jau6 baai2
承你貴言	sing4 nei5 gwai3 jin4
大家噉話	daai6 gaa1 gam2 waa6
天方夜譚	tin1 fong1 je6 taam4
網開一面	mong5 hoi1 jat1 min6
晴天霹靂	cing4 tin1 pik1 lik1
皮肉之苦	pei4 juk6 zi1 fu2
如數家珍	jyu4 sou3 gaa1 zan1
年宵市場	nin4 siu1 si5 coeng4
工人階級	gung1 jan4 gaai1 kap1
豐儉由人	fung1 gim6 jau4 jan4
風流韻事	fung1 lau4 wan6 si6
公民抗命	gung1 man4 kong3 ming6
特區護照	dak6 keoi1 wu6 ziu3
光輝歲月	gwong1 fai1 seoi3 jyut6
交頭接耳	gaau1 tau4 zip3 ji5
黑黑實實	haak1 haak1 sat6 sat6
有條有理	jau5 tiu4 jau5 lei5
自生自滅	zi6 sang1 zi6 mit6
一唱一和	jat1 coeng3 jat1 wo6
一妻多夫	jat1 cai1 do1 fu1
調查結果	diu6 caa4 git3 gwo2
佔領中環	zim3 ling5 zung1 waan4
不一定	bat1 jat1 ding6
代理人	doi6 lei5 jan4
美術館	mei5 seot6 gun2
中國城	zung1 gwok3 sing4
生意人	saang1 ji3 jan4
一條氣	jat1 tiu4 hei3
西洋棋	sai1 joeng4 kei4
登機證	dang1 gei1 zing3
不含糊	bat1 ham4 wu4
健身室	gin6 san1 sat1
煙灰盅	jin1 fui1 zung1
競爭者	ging6 zang1 ze2
房地產	fong4 dei6 caan2
設計師	cit3 gai3 si1
紅蘿蔔	hung4 lo4 baak6
珠寶商	zyu1 bou2 soeng1
小伙子	siu2 fo2 zi2
人行道	jan4 hang4 dou6
怎麼樣	zam2 mo1 joeng6
洋紫荊	joeng4 zi2 ging1
四十四	sei3 sap6 sei3
三十三	saam1 sap6 saam1
八個字	baat3 go3 zi6
還可以	waan4 ho2 ji5
花生醬	faa1 sang1 zoeng3
禮拜四	lai5 baai3 sei3
三文魚	saam1 man4 jyu4
不相干	bat1 soeng1 gon1
小孩子	siu2 haai4 zi2
研究生	jin4 gau3 saang1
百分比	baak3 fan6 bei2
你們的	nei5 mun4 dik1
十二日	sap6 ji6 jat6
夜來香	je6 loi4 hoeng1
有交易	jau5 gaau1 jik6
油尖旺	jau4 zim1 wong6
一面屁	jat1 min6 pei3
和事老	wo4 si6 lou5
劏死牛	tong1 sei2 ngau4
天拿水	tin1 naa4 seoi2
睇過先	tai2 gwo3 sin1
嘆世界	taan3 sai3 gaai3
熟面口	suk6 min6 hau2
小喇叭	siu2 laa3 baa1
攝灶罅	sip3 zou3 laa3
死肥婆	sei2 fei4 po4
壽星公	sau6 sing1 gung1
一皮嘢	jat1 pei4 je5
諗縮數	nam2 suk1 sou3
男子漢	naam4 zi2 hon3
冇彎轉	mou5 waan1 zyun3
冇交易	mou5 gaau1 jik6
麻甩仔	maa4 lat1 zai2
老而不	lou5 ji4 bat1
撈世界	lou1 sai3 gaai3
落嘴頭	lok6 zeoi2 tau4
屈尾十	wat1 mei5 sap6
契家婆	kai3 gaa1 po2
舂瘟雞	zung1 wan1 gai1
撞大板	zong6 daai6 baan2
關二哥	gwaan1 ji6 go1
排骨仔	paai4 gwat1 zai2
危危乎	ngai4 ngai4 fu4
狗男女	gau2 naam4 neoi5
金魚佬	gam1 jyu4 lou2
金絲貓	gam1 si1 maau1
翻頭嫁	faan1 tau4 gaa3
媽媽生	maa1 maa1 saang1
得啖笑	dak1 daam6 siu3
大冬瓜	daai6 dung1 gwaa1
打電報	daa2 din6 bou3
財神爺	coi4 san4 je4
抽後腳	cau1 hau6 goek3
追到瘦	zeoi1 dou3 sau3
猜呈尋	caai1 cing4 cam4
半唐番	bun3 tong4 faan1
口水佬	hau2 seoi2 lou2
雪花膏	syut3 faa1 gou1
開快車	hoi1 faai3 ce1
銀行家	ngan4 hong4 gaa1
遺傳性	wai4 cyun4 sing3
返頭嫁	faan1 tau4 gaa3
跌打藥	dit3 daa2 joek6
販毒案	faan3 duk6 on3
美人計	mei5 jan4 gai3
織布機	zik1 bou3 gei1
生暴人	saang1 bou2 jan4
玻璃杯	bo1 lei1 bui1
獨行俠	duk6 hang4 hap6
母夜叉	mou5 je6 caa1
歡迎會	fun1 jing4 wui2
工商業	gung1 soeng1 jip6
工人房	gung1 jan4 fong2
存款簿	cyun4 fun2 bou2
太極拳	taai3 gik6 kyun4
打靶仔	daa2 baa2 zai2
印象派	jan3 zoeng6 paai3
出大差	ceot1 daai6 caai1
不能不	bat1 nang4 bat1
趁地腍	can3 dei6 nam4
東風螺	dung1 fung1 lo4
修道院	sau1 dou6 jyun2
二房東	ji6 fong4 dung1
冇膽鬼	mou5 daam2 gwai2
有彈性	jau5 daan6 sing3
格仔餅	gaak3 zai2 beng2
領事館	ling5 si6 gun2
保守黨	bou2 sau2 dong2
十字車	sap6 zi6 ce1
喊噉口	haam3 daam6 hau2
大泡和	daai6 paau1 wo4
大牌檔	daai6 paai4 dong3
找晦氣	zaau2 fui3 hei3
搵世界	wan2 sai3 gaai3
水溝油	seoi2 kau1 jau4
發花癲	faat3 faa1 din1
跌眼鏡	dit3 ngaan5 geng2
跳樓貨	tiu3 lau2 fo3
行人道	hang4 jan4 dou6
遲啲見	ci4 di1 gin3
冇相干	mou5 soeng1 gon1
唔知醜	m4 zi1 cau2
綿羊仔	min4 joeng2 zai2
拍馬屁	paak3 maa5 pei3
乜說話	me1 syut3 waa6
莫須有	mok6 seoi1 jau5
優先權	jau1 sin1 kyun4
性價比	sing3 gaa3 bei2
算不了	syun3 bat1 liu5
說白了	syut3 baak6 liu5
深層次	sam1 cang4 ci3
麵包店	min6 baau1 dim3
領頭羊	ling5 tau4 joeng4
禁不住	kam1 bat1 zyu6
健身操	gin6 san1 cou1
黃臉婆	wong4 lim5 po4
大家庭	daai6 gaa1 ting4
大前提	daai6 cin4 tai4
打油詩	daa2 jau4 si1
百慕達	baak3 mou6 daat6
關係到	gwaan1 hai6 dou3
一體化	jat1 tai2 faa3
魔法師	mo1 faat3 si1
客貨車	haak3 fo3 ce1
合作方	hap6 zok3 fong1
電源線	din6 jyun4 sin3
鼻咽癌	bei6 jin1 ngaam4
鼎盛期	ding2 sing6 kei4
麻醉藥	maa4 zeoi3 joek6
高中生	gou1 zung1 sang1
顯露出	hin2 lou6 ceot1
順口溜	seon6 hau2 lau6
非小說	fei1 siu2 syut3
雙十節	soeng1 sap6 zit3
障礙物	zoeng3 ngoi6 mat6
陪葬品	pui4 zong3 ban2
開發商	hoi1 faat3 soeng1
開房間	hoi1 fong4 gaan1
長途車	coeng4 tou4 ce1
邱吉爾	jau1 gat1 ji5
遠距離	jyun5 keoi5 lei4
超額認	ciu1 ngaak2 jing6
賽龍舟	coi3 lung4 zau1
諾基亞	nok6 gei1 aa3
調查員	diu6 caa4 jyun4
解碼器	gaai2 maa5 hei3
著眼點	zoek6 ngaan5 dim2
萊茵河	loi4 jan1 ho4
航空信	hong4 hung1 seon3
舍利子	se3 lei6 zi2
自豪感	zi6 hou4 gam2
自由度	zi6 jau4 dou6
肯德基	hang2 dak1 gei1
聽證會	ting1 zing3 wui2
聽得懂	ting1 dak1 dung2
聯想起	lyun4 soeng2 hei2
聖彼得	sing3 bei2 dak1
而不需	ji4 bat1 seoi1
老資格	lou5 zi1 gaak3
老婦人	lou5 fu5 jan4
網球賽	mong5 kau4 coi3
紐倫堡	nau2 leon4 bou2
管理人	gun2 lei5 jan4
算不得	syun3 bat1 dak1
竹葉青	zuk1 jip6 cing1
睡過頭	seoi6 gwo3 tau4
皮膚病	pei4 fu1 beng6
發言權	faat3 jin4 kyun4
病毒性	beng6 duk6 sing3
生父母	sang1 fu6 mou5
無保留	mou4 bou2 lau4
漂流者	piu1 lau4 ze2
波斯貓	bo1 si1 maau1
法蘭克	faat3 laan4 hak1
水晶宮	seoi2 zing1 gung1
李鴻章	lei5 hung4 zoeng1
未來學	mei6 loi4 hok6
有意志	jau5 ji3 zi3
新石器	san1 sek6 hei3
斯拉夫	si1 laai1 fu1
數不盡	sou2 bat1 zeon6
收件人	sau1 gin2 jan4
據估計	geoi3 gu2 gai3
接下來	zip3 haa6 loi4
打通宵	daa2 tung1 siu1
成文法	sing4 man4 faat3
感嘆號	gam2 taan3 hou6
忍得住	jan2 dak1 zyu6
徐志摩	ceoi4 zi3 mo1
彼得堡	bei2 dak1 bou2
強迫性	koeng4 bik1 sing3
張愛玲	zoeng1 oi3 ling4
小商販	siu2 soeng1 faan5
對不對	deoi3 bat1 deoi3
專案組	zyun1 on3 zou2
審美觀	sam2 mei5 gun1
客氣話	haak3 hei3 waa6
定時鐘	ding6 si4 zung1
安第斯	on1 dai6 si1
天地會	tin1 dei6 wui2
大範圍	daai6 faan6 wai4
塑造成	sou3 zou6 sing4
嚇一跳	haak3 jat1 tiu3
單方向	daan1 fong1 hoeng3
向左拐	hoeng3 zo2 gwaai2
可靠性	ho2 kaau3 sing3
古典派	gu2 din2 paai3
反壟斷	faan2 lung5 dyun6
參與者	caam1 jyu5 ze2
午餐會	ng5 caan1 wui2
功夫茶	gung1 fu1 caa4
副教授	fu3 gaau3 sau6
到現在	dou3 jin6 zoi6
分析員	fan1 sik1 jyun4
出問題	ceot1 man6 tai4
冤枉錢	jyun1 wong2 cin2
再發生	zoi3 faat3 sang1
公約數	gung1 joek3 sou3
八佰伴	baat3 baak3 bun6
假正經	gaa2 zing3 ging1
保護國	bou2 wu6 gwok3
伯明翰	baak3 ming4 hon6
二手車	ji6 sau2 ce1
也就是	jaa5 zau6 si6
中國話	zung1 gwok3 waa2
世隔絕	sai3 gaak3 zyut6
不清楚	bat1 cing1 co2
不好受	bat1 hou2 sau6
上半身	soeng6 bun3 san1
七月份	cat1 jyut6 fan6
一個勁	jat1 go3 ging6
太子道	taai3 zi2 dou6
周華健	zau1 waa4 gin6
周杰倫	zau1 git6 leon4
萬梓良	maan6 zi2 loeng4
古巨基	gu2 geoi6 gei1
陳惠敏	can4 wai6 man5
古天樂	gu2 tin1 lok6
張柏芝	zoeng1 paak3 zi1
陳百祥	can4 baak3 coeng4
鄭伊健	zeng6 ji1 gin6
陳百強	can4 baak3 koeng4
李連杰	lei5 lin4 git6
艇仔粥	teng5 zai2 zuk1
滿地可	mun5 dei6 ho2
謝霆鋒	ze6 ting4 fung1
大帽山	daai6 mou6 saan1
何鴻燊	ho4 hung4 san1
海鮮舫	hoi2 sin1 fong2
羅賓漢	lo4 ban1 hon3
步行街	bou6 hang4 gaai1
佐敦道	zo3 deon1 dou6
慕尼黑	mou6 nei4 hak1
星巴克	sing1 baa1 hak1
大三巴	daai6 saam1 baa1
豆腐渣	dau6 fu6 zaa1
黨中央	dong2 zung1 joeng1
楊千嬅	joeng4 cin1 waa4
波哥大	bo1 go1 daai6
波士頓	bo1 si6 deon2
烏拉圭	wu1 laai1 gwai1
骷髏骨	fu1 lau4 gwat1
雙子座	soeng1 zi2 zo6
容祖兒	jung4 zou2 ji4
姚子羚	jiu4 zi2 ling4
肯尼亞	hang2 nei4 aa3
科索沃	fo1 sok3 juk1
寶蓮寺	bou2 lin4 zi2
黑龍江	hak1 lung4 gong1
直轄市	zik6 hat6 si5
亞馬遜	aa3 maa5 seon3
興奮劑	hing1 fan5 zai1
腎上腺	san6 soeng6 sin3
三板斧	saam1 baan2 fu2
七星岩	cat1 sing1 ngaam4
玩失蹤	waan4 sat1 zung1
太陽穴	taai3 joeng4 jyut6
同屋主	tung4 uk1 zyu2
同學會	tung4 hok6 wui5
廚房佬	cyu4 fong2 lou2
白滾水	baak6 gwan2 seoi2
差得遠	caa1 dak1 jyun5
半世人	bun3 sai3 jan4
跳跳貢	tiu3 tiu3 gung3
調酒師	tiu4 zau2 si1
附屬品	fu6 suk6 ban2
褓姆車	bou2 mou5 ce1
及時雨	kap6 si4 jyu5
開硬弓	hoi1 ngaang6 gung1
眼矋矋	ngaan5 lai3 lai3
樣樣事	joeng6 joeng6 si6
屙爛屎	o1 laan6 si2
胰島素	ji4 dou2 sou3
方向感	fong1 hoeng3 gam2
東方人	dung1 fong1 jan4
武俠片	mou5 haap6 pin2
一條數	jat1 tiu4 sou3
一路路	jat1 lou6 lou6
甚至無	sam6 zi3 mou4
荷包友	ho4 baau1 jau5
一張嘢	jat1 zoeng1 je5
一唔係	jat1 m4 hai6
瀏覽器	lau4 laam5 hei3
打樁機	daa2 zong1 gei1
固然之	gu3 jin4 zi1
新老爺	san1 lou5 je4
新發明	san1 faat3 ming4
打卜成	daa2 bok1 sing2
食波餅	sik6 bo1 beng2
哎吔吔	aai1 jaa1 jaa1
展覽廳	zin2 laam5 teng1
自制力	zi6 zai3 lik6
垃圾堆	laap6 saap3 deoi1
